,county,state,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Poverty
3887,Machias,ME,,,,0.516,0.442,893.0,,,,,,,,,,,,
3888,Machiasport,ME,,,,0.595,0.382,565.0,,,,,,,,,,,,
3889,Macwahoc Plt.,ME,,,,0.698,0.279,43.0,,,,,,,,,,,,
3890,Madawaska,ME,,,,0.445,0.541,2112.0,,,,,,,,,,,,
3891,Madbury,NH,,,,0.346,0.628,1312.0,,,,,,,,,,,,
3892,Madison,CT,,,,0.373,0.613,12437.0,,,,,,,,,,,,
3893,Madison,ME,,,,0.592,0.39,2382.0,,,,,,,,,,,,
3894,Madison,NH,,,,0.446,0.544,1703.0,,,,,,,,,,,,
3895,Magalloway Plt.,ME,,,,,,0.0,,,,,,,,,,,,
3896,Maidstone,VT,,,,0.51,0.462,145.0,,,,,,,,,,,,
3897,Malden,MA,,,,0.238,0.743,24776.0,,,,,,,,,,,,
3898,Manchester,CT,,,,0.3,0.683,28466.0,,,,,,,,,,,,
3899,Manchester,MA,,,,0.271,0.712,3717.0,,,,,,,,,,,,
3900,Manchester,ME,,,,0.479,0.492,1690.0,,,,,,,,,,,,
3901,Manchester,NH,,,,0.421,0.56,52606.0,,,,,,,,,,,,
3902,Manchester,VT,,,,0.262,0.711,2790.0,,,,,,,,,,,,
3903,Mansfield,CT,,,,0.228,0.749,7485.0,,,,,,,,,,,,
3904,Mansfield,MA,,,,0.354,0.621,14521.0,,,,,,,,,,,,
3905,Mapleton,ME,,,,0.626,0.35,1159.0,,,,,,,,,,,,
3906,Marblehead,MA,,,,0.266,0.712,14179.0,,,,,,,,,,,,
3907,Mariaville,ME,,,,,,0.0,,,,,,,,,,,,
3908,Marion,MA,,,,0.337,0.641,3694.0,,,,,,,,,,,,
3909,Marlboro,VT,,,,0.146,0.817,646.0,,,,,,,,,,,,
3910,Marlborough,CT,,,,0.458,0.522,4062.0,,,,,,,,,,,,
3911,Marlborough,MA,,,,0.305,0.645,19122.0,,,,,,,,,,,,
3912,Marlborough,NH,,,,0.346,0.633,1273.0,,,,,,,,,,,,
3913,Marlow,NH,,,,0.417,0.558,496.0,,,,,,,,,,,,
3914,Mars Hill,ME,,,,0.689,0.299,742.0,,,,,,,,,,,,
3915,Marshfield,MA,,,,0.428,0.55,17231.0,,,,,,,,,,,,
3916,Marshfield,ME,,,,0.658,0.323,316.0,,,,,,,,,,,,
3917,Marshfield,VT,,,,0.348,0.607,965.0,,,,,,,,,,,,
3918,Masardis,ME,,,,,,0.0,,,,,,,,,,,,
3919,Mashpee,MA,,,,0.398,0.583,10250.0,,,,,,,,,,,,
3920,Mason,NH,,,,0.564,0.4,949.0,,,,,,,,,,,,
3921,Matinicus Isle Plt.,ME,,,,,,0.0,,,,,,,,,,,,
3922,Mattapoisett,MA,,,,0.402,0.579,4685.0,,,,,,,,,,,,
3923,Mattawamkeag,ME,,,,0.662,0.309,388.0,,,,,,,,,,,,
3924,Maxfield,ME,,,,,,0.0,,,,,,,,,,,,
3925,Maynard,MA,,,,0.248,0.728,6668.0,,,,,,,,,,,,
3926,Mechanic Falls,ME,,,,0.578,0.38,1712.0,,,,,,,,,,,,
3927,Meddybemps,ME,,,,,,0.0,,,,,,,,,,,,
3928,Medfield,MA,,,,0.289,0.69,8216.0,,,,,,,,,,,,
3929,Medford,MA,,,,0.242,0.741,30637.0,,,,,,,,,,,,
3930,Medford,ME,,,,0.683,0.28,164.0,,,,,,,,,,,,
3931,Medway,MA,,,,0.354,0.608,8475.0,,,,,,,,,,,,
3932,Medway,ME,,,,,,0.0,,,,,,,,,,,,
3933,Melrose,MA,,,,0.254,0.725,17725.0,,,,,,,,,,,,
3934,Mendon,MA,,,,0.451,0.521,3920.0,,,,,,,,,,,,
3935,Mendon,VT,,,,0.403,0.571,780.0,,,,,,,,,,,,
3936,Mercer,ME,,,,,,0.0,,,,,,,,,,,,
3937,Meredith,NH,,,,0.501,0.485,4407.0,,,,,,,,,,,,
3938,Meriden,CT,,,,0.394,0.591,25316.0,,,,,,,,,,,,
3939,Merrill,ME,,,,0.669,0.316,136.0,,,,,,,,,,,,
3940,Merrimac,MA,,,,0.391,0.583,4297.0,,,,,,,,,,,,
3941,Methuen,MA,,,,0.429,0.553,25498.0,,,,,,,,,,,,
3942,Mexico,ME,,,,0.532,0.437,1271.0,,,,,,,,,,,,
3943,Middleborough,MA,,,,0.519,0.455,13538.0,,,,,,,,,,,,
3944,Middlebury,CT,,,,0.54,0.445,5078.0,,,,,,,,,,,,
3945,Middlebury,VT,,,,0.169,0.802,4336.0,,,,,,,,,,,,
3946,Middlefield,CT,,,,0.475,0.505,2853.0,,,,,,,,,,,,
3947,Middlefield,MA,,,,0.371,0.596,334.0,,,,,,,,,,,,
3948,Middlesex,VT,,,,0.185,0.782,1249.0,,,,,,,,,,,,
3949,Middleton,MA,,,,0.509,0.471,5772.0,,,,,,,,,,,,
