county,state,total population,men,women,hispanic_percentile,white_percentile,black_percentile,native_percentile,asian_percentile,pacific_percentile,poverty_percentile
Humboldt,NV,17088,8879,8209,26.5,65.8,0.6,4.5,0.3,0,9.1
Lander,NV,5887,3276,2611,26.8,67.8,0.1,4.2,0.1,0.5,13.2
Lincoln,NV,5203,2780,2423,8.7,83.7,2.6,3.2,1,0,12.1
Lyon,NV,52303,26400,25903,16.2,76.1,0.9,1.9,1.1,0.2,13.7
Mineral,NV,4471,2165,2306,11.1,58.1,0.8,21.6,4.6,0,20.3
Nye,NV,43296,21789,21507,14.2,77.2,3,1.5,1.6,0.4,17.3
Pershing,NV,6661,4337,2324,23.8,66.1,4.7,2.8,1.3,0.5,15
Storey,NV,3891,1894,1997,6.7,86.7,0.7,1.4,1.9,0,7.7
Washoe,NV,445551,224212,221339,23.9,63.7,2.1,1.3,5.2,0.6,13.3
White Pine,NV,9858,5820,4038,15.3,72.7,4.7,5.7,0.8,0.2,13
Albany,NY,308580,149287,159293,5.7,73,11.7,0.1,6.4,0,12.4
Allegany,NY,47400,24013,23387,1.5,94.5,1.4,0.3,1.2,0,16.5
Bronx,NY,1455846,685636,770210,55.7,9.5,29.4,0.2,3.6,0,29.7
Broome,NY,196124,96409,99715,4,84,5.1,0.2,4.2,0,17.1
Cattaraugus,NY,78175,38739,39436,2,90.8,1.6,2.9,0.9,0,16.9
Cayuga,NY,78319,40132,38187,2.8,90.5,3.9,0.2,0.5,0,11.6
Chautauqua,NY,130846,64652,66194,7.2,87.8,2.4,0.3,0.6,0,18.5
Chemung,NY,86883,43018,43865,3,86.5,5.8,0.4,1.5,0,15.8
Chenango,NY,48763,24382,24381,2.1,94.9,0.9,0.3,0.4,0,14.5
Clinton,NY,81224,41648,39576,2.8,89.9,4.1,0.2,1.5,0,15.7
Columbia,NY,61481,30856,30625,4.5,86.9,4.3,0,1.7,0,11.4
Cortland,NY,48334,23443,24891,2.6,92.7,1.7,0.2,0.7,0,14.7
Delaware,NY,45950,23118,22832,3.7,92.5,1.7,0.1,0.7,0,16.5
Dutchess,NY,295685,146993,148692,11.7,72.2,9.6,0.1,3.7,0,9.1
Erie,NY,923995,447024,476971,5.2,76,13,0.4,3.4,0,14.9
Essex,NY,38233,19936,18297,3.2,91.8,2.9,0.2,0.5,0,8.9
Franklin,NY,51054,27928,23126,3.4,81.7,5.8,6.9,0.4,0.2,19.4
Fulton,NY,53955,26899,27056,2.8,93.2,1.8,0.2,0.7,0,16
Genesee,NY,58537,29199,29338,3.1,90.7,2.4,0.9,0.7,0,12.8
Greene,NY,47791,24875,22916,5.5,85.6,6,0.3,1.1,0,12.4
Hamilton,NY,4646,2387,2259,1.5,95.5,0.8,0,0,0,9.7
Herkimer,NY,62943,31103,31840,2.1,94.8,1,0.3,0.5,0,14.9
Jefferson,NY,116567,61385,55182,7.3,82.1,5.5,0.4,1.5,0.2,14.8
Kings,NY,2635121,1247773,1387348,19.3,36,30.6,0.1,11.8,0,21.9
Lewis,NY,26845,13525,13320,1.7,95.8,0.7,0.2,0.4,0.1,14.2
Livingston,NY,64373,32269,32104,3.4,91,2.5,0.1,1.4,0,14.6
Madison,NY,71760,35413,36347,2.1,93.4,1.8,0.6,0.8,0.1,11.1
Monroe,NY,748680,361649,387031,8.3,71,14.5,0.2,3.6,0,14.8
Montgomery,NY,49500,24352,25148,13.2,82.6,1.2,0.1,0.7,0,19.6
Nassau,NY,1363069,661718,701351,16.4,61.4,11,0.1,9,0,5.9
New York,NY,1653877,782142,871735,26.1,46.8,12.5,0.1,11.9,0,17.3
Niagara,NY,212675,103592,109083,2.7,86,7.1,1,1,0,13.4
Oneida,NY,232324,115854,116470,5.4,82.6,5.8,0.2,4,0,16.6
Onondaga,NY,467669,225685,241984,4.7,77.1,10.7,0.5,3.9,0,14.9
Ontario,NY,109491,53712,55779,4.4,90.3,2.3,0.2,1.3,0.1,9.7
Orange,NY,378174,189437,188737,19.7,65.4,9.7,0.2,2.6,0,12.2
Orleans,NY,41584,20662,20922,4.7,86.5,5.9,0.4,0.7,0.1,15.9
Oswego,NY,119833,60028,59805,2.5,94.3,0.8,0.1,0.6,0,18.3
Otsego,NY,60750,29341,31409,3.5,91.5,1.7,0.1,1.3,0,16.1
Putnam,NY,99464,49485,49979,13.8,80.2,2.2,0.1,2.2,0,4.8
Queens,NY,2339280,1134031,1205249,28,25.4,17.2,0.2,25.1,0,13.7
Rensselaer,NY,159800,78800,81000,4.6,83.9,5.9,0,2.5,0,12.6
Richmond,NY,475948,230325,245623,18.2,62.1,9.4,0.1,8.4,0,12.9
Rockland,NY,325027,159227,165800,17.3,63.2,11.5,0.1,6,0,14.2
Saratoga,NY,226632,111991,114641,3,90.9,1.5,0.2,2.8,0,6.6
Schenectady,NY,155239,75537,79702,6.7,73.8,9.6,0.2,4.6,0,12.4
Schoharie,NY,31611,15700,15911,3,93.5,1.5,0.2,0.8,0,13.9
Schuyler,NY,18112,9076,9036,1.8,95.3,1,0.1,0.5,0,15.3
Seneca,NY,34843,18308,16535,3.3,89.3,4.6,0.3,0.7,0,11.8
St. Lawrence,NY,110817,56381,54436,2.3,92.1,2.2,0.7,1.1,0.1,19.4
Steuben,NY,97539,48550,48989,1.6,93.8,1.6,0.1,1.5,0,14.5
Suffolk,NY,1497595,737373,760222,18.6,68.5,7.2,0.1,3.8,0,7.2
Sullivan,NY,75783,38941,36842,15.4,72.5,7.7,0.1,1.6,0,15.9
Tioga,NY,49322,24340,24982,1.8,95.3,0.6,0,0.8,0,11.2
Tompkins,NY,104415,51397,53018,4.8,77.3,3.6,0.2,10.3,0,20.4
Ulster,NY,180129,89377,90752,9.8,79.8,5.2,0.1,2.1,0.1,13.2
Warren,NY,64701,31717,32984,2.4,94.2,1.1,0.2,1,0.1,9.9
Washington,NY,62183,32148,30035,2.6,92.6,2.9,0.2,0.5,0,12.8
Wayne,NY,91442,45218,46224,4.2,90.2,2.9,0.1,0.7,0.1,11.7
Westchester,NY,975321,471874,503447,24,54.4,13.5,0.1,5.8,0,9.4
Wyoming,NY,40886,22032,18854,3.3,89.9,4.8,0.4,0.4,0,11.4
Yates,NY,25083,12069,13014,2.2,94.9,1,0.1,0.7,0,13.1
Adams,OH,27926,13960,13966,1,96.6,0.4,0.6,0.2,0,23.8
Allen,OH,104157,52614,51543,2.9,81.2,11.7,0.2,0.7,0,15
Ashland,OH,53299,26005,27294,1.3,96,0.8,0,0.6,0,14.2
Ashtabula,OH,98622,49509,49113,4,89.9,3.4,0.2,0.5,0,19.8
Athens,OH,65563,32641,32922,1.8,89.7,2.5,0.2,2.8,0.1,30.2
Auglaize,OH,45778,22866,22912,1.6,96,0.4,0.2,0.5,0.1,9
Belmont,OH,68889,35167,33722,0.9,93,4.1,0.2,0.4,0,14.1
Brown,OH,43799,21693,22106,0.9,96.6,0.8,0.1,0.3,0,17.8
Butler,OH,375702,184149,191553,4.5,82.2,7.8,0.1,2.9,0.1,12.9
Carroll,OH,27825,13824,14001,1.3,96.4,0.9,0.1,0.4,0.1,14.8
Champaign,OH,39005,19453,19552,1.5,93.5,1.6,0.1,0.5,0.1,11.1
Clark,OH,135520,65575,69945,3.2,84.4,8.1,0.1,0.6,0.1,16.6
Clermont,OH,202166,99940,102226,1.8,93.9,1.4,0.2,1.1,0,9.8
Clinton,OH,41869,20707,21162,1.6,93.4,2.1,0.1,0.4,0,14.7
Columbiana,OH,104584,52586,51998,1.6,94.2,2.2,0.1,0.2,0,15.4
Coshocton,OH,36602,18192,18410,1,96.1,1.1,0.2,0.3,0,15
Crawford,OH,42231,20626,21605,1.5,95.7,0.9,0.1,0.4,0,16.2
Cuyahoga,OH,1257401,599033,658368,5.6,59.7,29.3,0.1,2.8,0,18.3
Darke,OH,51919,25569,26350,1.5,96.4,0.8,0.2,0.3,0,11.6
Defiance,OH,38311,18969,19342,9.6,86.9,1.7,0.4,0.3,0,11
Delaware,OH,193024,95515,97509,2.4,86.4,3.4,0.1,5.5,0,5.1
Erie,OH,75369,36972,38397,4.2,83.6,8.1,0.2,0.6,0,13
Fairfield,OH,151526,75440,76086,2,87.1,7.1,0.1,1.6,0,9.9
Fayette,OH,28659,14027,14632,2,92.9,2,0,0.8,0.1,17.7
Franklin,OH,1253507,611086,642421,5.2,64.5,21.7,0.1,4.8,0,16.7
Fulton,OH,42296,20912,21384,8.4,89.4,0.3,0.2,0.4,0.1,10.6
Gallia,OH,30203,14814,15389,1.3,93.6,2.8,0.5,0.7,0.1,20.9
Geauga,OH,93895,46220,47675,1.4,95.8,1.2,0.1,0.6,0,6.5
Greene,OH,164825,81014,83811,2.7,84.2,6.8,0.1,3,0,12.3
Guernsey,OH,39414,19544,19870,1.1,94.8,1.2,0.2,0.3,0,20.2
Hamilton,OH,808703,389496,419207,3,65.9,25.6,0.1,2.4,0.1,17
Hancock,OH,75508,37209,38299,5.2,89.6,1.4,0,1.8,0,12.1
Hardin,OH,31576,15620,15956,1.6,95.3,0.7,0,0.8,0,16.6
Harrison,OH,15397,7606,7791,0.9,95.2,2,0.1,0.5,0,15.7
Henry,OH,27463,13558,13905,7.5,90.2,0.5,0.1,0.4,0,9
Highland,OH,43031,21262,21769,0.9,95.5,1.2,0.2,0.4,0,21.6
Hocking,OH,28547,14122,14425,0.6,96.6,1,0,0.2,0,14.2
Holmes,OH,43808,21874,21934,0.9,97.9,0.2,0,0.2,0,12
Huron,OH,58497,28837,29660,6.2,90.6,1.3,0,0.2,0,14.2
Jackson,OH,32624,15953,16671,1,96.2,0.8,0,0.1,0.1,20.6
Jefferson,OH,67349,32579,34770,1.3,90.5,5.5,0.1,0.3,0,17.6
Knox,OH,60945,29830,31115,1.4,95.5,0.9,0.1,0.4,0,13.8
Lake,OH,229701,112214,117487,4,89.1,3.8,0.1,1.2,0,8.3
Lawrence,OH,61057,29977,31080,0.9,94.9,1.9,0,0.5,0,18.6
Licking,OH,170678,83575,87103,1.7,91.2,3.5,0.1,1,0,11.8
Logan,OH,45323,22419,22904,1.5,93.7,1.6,0.2,0.7,0,13.7
Lorain,OH,305405,150419,154986,9.5,78.9,7.8,0.2,1,0,13.7
Lucas,OH,433404,210162,223242,6.8,69.4,18.7,0.2,1.7,0,19.8
Madison,OH,43732,23892,19840,1.9,88.9,5.8,0.3,1.1,0,10.2
Mahoning,OH,231857,112946,118911,5.6,76.5,14.7,0.2,0.8,0,17.6
Marion,OH,65483,34853,30630,2.5,88.7,5.2,0.1,0.5,0,16.6
Medina,OH,176362,87232,89130,1.9,94.1,1.5,0.1,1.2,0,6.2
Meigs,OH,23234,11517,11717,0.6,96.8,1.2,0.1,0,0,22.5
Mercer,OH,40723,20484,20239,1.8,95.8,0.7,0,0.4,0.4,7.4
Miami,OH,104081,51484,52597,1.6,92.8,2.1,0.1,1.3,0,9.9
Monroe,OH,14239,7140,7099,0.5,98.9,0.1,0,0.1,0,19.7
Montgomery,OH,531987,256138,275849,2.7,71.4,20.5,0.2,2,0,17.9
Morgan,OH,14773,7395,7378,0.9,92.4,3.4,0.1,0.2,0,21.5
Morrow,OH,34935,17467,17468,1.4,96.1,0.7,0.1,0,0,9.7
Muskingum,OH,85933,41718,44215,1,91.8,3.1,0.2,0.4,0,16.6
Noble,OH,14498,8626,5872,0.8,92.2,5.4,0,0.1,0,12.9
Ottawa,OH,40769,20272,20497,4.9,92.3,1.1,0.1,0.2,0,10.5
Paulding,OH,18951,9493,9458,4.6,92.5,0.8,0.2,0.3,0.1,10.7
Perry,OH,35983,18012,17971,0.8,96.9,0.3,0.2,0.2,0,19.2
Pickaway,OH,57075,30052,27023,1.3,92.9,3.2,0.2,0.4,0,12
Pike,OH,28291,14102,14189,1,95.4,1.2,0.4,0.1,0,20
Portage,OH,162080,79258,82822,1.7,90,4.1,0.1,1.9,0,14.5
Preble,OH,41328,20452,20876,0.8,96.7,0.5,0.2,0.4,0,12.4
Putnam,OH,34037,16979,17058,6,92.3,0.4,0,0.2,0,7.2
Richland,OH,121533,61682,59851,1.8,85.8,7.7,0.1,0.8,0,15.6
Ross,OH,77125,40622,36503,1.2,89.6,5.1,0,0.6,0,18.2
Sandusky,OH,59559,29478,30081,9.7,84.9,2.7,0.2,0.3,0,13.6
Scioto,OH,76871,37968,38903,1.3,93.5,2.8,0.4,0.4,0,23.9
Seneca,OH,55549,27734,27815,4.9,90.3,2.4,0.2,0.6,0,15.2
Shelby,OH,48902,24685,24217,1.5,93.2,2.8,0.3,0.9,0,8.9
Stark,OH,374273,181773,192500,1.9,86.8,7.1,0.1,0.8,0,14
Summit,OH,541318,262534,278784,2,77.8,14.4,0.2,3,0,13.6
Trumbull,OH,203341,99211,104130,1.7,87.4,8.2,0.2,0.5,0,17.2
Tuscarawas,OH,92531,45562,46969,2.4,95,0.8,0.3,0.4,0,13.8
Union,OH,54688,26167,28521,1.6,90.4,2.4,0.3,3.2,0.1,7.4
Van Wert,OH,28262,13867,14395,3,94.4,1.2,0,0.3,0,12.7
Vinton,OH,13142,6608,6534,0.5,96.8,0.5,0.1,0.1,0,21.1
Warren,OH,223868,112736,111132,2.6,87.1,3.3,0,5.2,0,5.1
Washington,OH,60871,30077,30794,1,95.3,1.2,0.4,0.6,0,15.5
Wayne,OH,115915,57412,58503,1.9,94,1.4,0.2,1,0,13
Williams,OH,37061,18360,18701,4.2,93.1,1.1,0.3,0.6,0,13.5
Wood,OH,129504,63767,65737,5.3,88.7,2.7,0.1,1.7,0,13.4
Wyandot,OH,22190,10992,11198,2.7,95.3,0.3,0,0.9,0,11.3
Adair,OK,22136,10987,11149,6.4,40.8,0.3,41.7,0.6,0.2,30.8
Alfalfa,OK,5877,3502,2375,5,76.2,2.4,1.9,0,0,11.2
Atoka,OK,13899,7340,6559,3.4,71.8,3.7,11.4,0.7,0.1,19.8
Beaver,OK,5445,2701,2744,22.1,76.4,0.1,0.6,0,0,11.7
Beckham,OK,22971,12263,10708,14.2,75.7,3.3,1.4,0.9,0.1,12.6
Blaine,OK,9680,5070,4610,9.8,74,3.9,6.9,0.1,0,15
Bryan,OK,45068,21890,23178,5.6,71.9,1.8,15.1,0.5,0.1,17.5
Caddo,OK,29437,15383,14054,12.1,57.4,2.2,22.4,0.4,0.1,20.8
Canadian,OK,132922,66068,66854,8.3,77.3,2.4,3.5,3.2,0,7.9
Carter,OK,48407,23449,24958,6.8,70.8,6.4,7.1,1.1,0,16.4
Cherokee,OK,48404,23854,24550,6.9,48.3,1.3,33.2,0.6,0.3,21.1
Choctaw,OK,14979,7248,7731,4,61.3,11.4,15.1,0.1,0.2,31
Cimarron,OK,2221,1118,1103,20.8,77.7,0.3,0.6,0.2,0,15.9
Cleveland,OK,274024,136970,137054,8.2,72.8,4.6,3.5,4.3,0.1,12.6
Coal,OK,5666,2819,2847,4.4,69.5,0.2,12.9,0.3,0,20.3
Comanche,OK,123066,63755,59311,12.7,56.8,16.3,4.7,2.2,0.5,16.7
Cotton,OK,6000,2973,3027,7.3,76.6,2,8.2,0,0,15.4
Craig,OK,14563,7416,7147,3.4,64.2,2.9,20.5,0.8,0.2,17.9
Creek,OK,70899,35142,35757,3.9,76.8,2.2,11.7,0.6,0,15.2
Custer,OK,29169,14654,14515,17.5,69.3,3,1.7,1.2,0.1,15.8
Delaware,OK,41878,20687,21191,3.6,64.2,0.2,20.9,1.1,0.1,19
Dewey,OK,4904,2464,2440,6.6,83.3,0.2,0.8,0.5,0,18.6
Ellis,OK,4102,1983,2119,7.3,86.9,0,1.2,0.9,0,17.2
Garfield,OK,62421,30927,31494,11.6,75.8,3,1.8,0.8,2.8,13.6
Garvin,OK,27751,13765,13986,8.2,76.4,2.3,5.4,0.5,0,17.1
Grady,OK,54351,27146,27205,5.5,82,2.1,4.9,0.4,0,12.4
Grant,OK,4458,2265,2193,4.6,88.9,0.2,0.4,0.1,0.1,9.6
Greer,OK,6018,3463,2555,11,75.4,8.4,2.6,0,0,19.2
Harmon,OK,2758,1344,1414,27.9,59,7.4,0.3,1.2,0,16.1
Harper,OK,3843,1948,1895,22.2,74.9,0.1,0.3,0,0,13.2
Haskell,OK,12746,6323,6423,4.2,71.2,0.7,13.6,0.6,0,19.2
Hughes,OK,13519,7252,6267,5.1,63.7,6,19.6,0.1,0,20.1
Jackson,OK,25574,12735,12839,23.3,63.4,7,1.5,1.3,0,18
Jefferson,OK,6270,3158,3112,10,78.6,1.3,6.9,0.1,0,20.9
Johnston,OK,11039,5482,5557,5,70,1.2,5.9,0.2,0,20
Kay,OK,45173,22375,22798,7.6,75.4,2,7.4,0.5,0,17.6
Kingfisher,OK,15510,7669,7841,15.2,77.3,1.1,3.1,0,0,8.9
Kiowa,OK,9127,4493,4634,11.2,74.9,3.2,4.5,0.4,0.1,23.9
Latimer,OK,10621,5387,5234,3.4,66.1,1.1,20,0.5,0,18.9
Le Flore,OK,49860,25028,24832,6.8,71.9,2.3,10.1,0.4,0.1,22.2
Lincoln,OK,34759,17278,17481,3.2,82.8,1.8,7.9,0.2,0.1,14.3
Logan,OK,45326,22593,22733,5.7,77.8,8.6,3.5,0.5,0.1,13.2
Love,OK,9843,4850,4993,14.9,72.1,1.9,6,0.8,0,12.2
Major,OK,7730,3836,3894,9.2,85.5,0.3,1.7,0.6,0,13.1
Marshall,OK,16226,8049,8177,16.8,66.4,1.6,7.4,0.2,0,14.7
Mayes,OK,40929,20424,20505,3.3,65.4,0.5,14.3,0.4,0.3,19.2
McClain,OK,37919,18800,19119,7.8,79.7,1,5.4,0.4,0.1,9.5
McCurtain,OK,33026,16268,16758,5.7,63.1,8,12.8,0.6,0.8,23.6
McIntosh,OK,19874,9812,10062,2.6,68.3,2.8,16.1,0.2,0,18.5
Murray,OK,13797,6918,6879,6,73.2,1.7,8.3,0.6,0,14.1
Muskogee,OK,69471,33978,35493,5.9,56.6,10.7,18,0.7,0,21.9
Noble,OK,11421,5599,5822,3.5,81.9,0.8,7.3,0,0,11.6
Nowata,OK,10448,5150,5298,2.9,67.1,2.2,16.5,0.3,0,18.1
Okfuskee,OK,12160,6518,5642,3.9,61.6,7.6,13.7,0.1,0,25.2
Oklahoma,OK,774203,378842,395361,16.8,56.8,14.8,2.5,3.3,0.1,17
Okmulgee,OK,39121,19298,19823,3.8,62.8,8.5,13.5,0.4,0,19.5
Osage,OK,47350,23748,23602,3.4,63.7,11.3,13.2,0.4,0.1,15.7
Ottawa,OK,31725,15570,16155,5.4,65.6,1,15.2,0.7,0.7,21.8
Pawnee,OK,16448,8214,8234,2.8,77.2,1,12.2,0.4,0.1,15
Payne,OK,80634,41317,39317,4.6,77.3,3.9,4.9,4.4,0.1,26.3
Pittsburg,OK,44673,22664,22009,4.8,70,3.2,7.2,0.4,0,17.1
Pontotoc,OK,38289,18680,19609,5.1,66.3,2.1,8.7,0.8,0.1,17.3
Pottawatomie,OK,71614,34122,37492,4.9,73,3.1,14,0.7,0.1,17
Pushmataha,OK,11132,5441,5691,3.5,72.1,0.8,13.4,0.4,0.1,20.3
Roger Mills,OK,3734,1816,1918,6.8,84.2,0.1,1.8,0,0,18.4
Rogers,OK,90098,44923,45175,4.4,72.4,1,11.5,1.1,0.1,9.4
Seminole,OK,25246,12357,12889,4.8,65.1,4.8,19.6,0.2,0,22.7
Sequoyah,OK,41364,20451,20913,3.9,63.5,1.9,18.9,0.7,0.1,24.6
Stephens,OK,44293,21476,22817,7.2,80.9,1.8,5.1,0.7,0,15.1
Texas,OK,21409,11444,9965,45.1,45.6,3.9,0.3,3,0.1,16.8
Tillman,OK,7591,3881,3710,25.8,60.6,7.9,2.3,0.3,0,22.1
Tulsa,OK,637123,310812,326311,12.1,63,9.8,4.4,3,0.1,15.5
Wagoner,OK,76830,37961,38869,5.7,72.1,3.4,8.2,1.4,0.1,10.7
Washington,OK,51867,25196,26671,5.7,73.6,2.5,10.4,1.9,0,14
Washita,OK,11550,5729,5821,9.6,83.9,0.1,1.1,0.2,0,14.2
Woods,OK,9132,4949,4183,6.8,83.6,2.4,1.2,0.7,0,12.9
Woodward,OK,21140,11155,9985,12.2,80.6,0.8,1.4,0.2,0,11.7
Baker,OR,15980,8156,7824,3.9,91.1,0.9,1,0.8,0.4,15.3
Benton,OR,88249,44598,43651,7.1,81.3,1,0.5,6.6,0.3,20.7
Clackamas,OR,399962,196834,203128,8.4,82.7,0.9,0.6,4.1,0.2,9
Clatsop,OR,38021,18909,19112,8.3,86,0.7,0.3,0.9,0.3,12.2
Columbia,OR,50207,25179,25028,4.8,89.1,0.5,1.1,1.2,0.2,12.3
Coos,OR,62921,30820,32101,6.3,85.6,0.6,2,1.1,0.2,17.9
Crook,OR,21717,10627,11090,7.6,88.4,0.2,0.9,0.3,0.4,15.3
Curry,OR,22377,10898,11479,6.8,86.8,0.3,2,0.5,0,15.5
Deschutes,OR,175321,86629,88692,7.8,87.7,0.5,0.4,1.1,0.1,12.1
Douglas,OR,107576,53134,54442,5.5,88.4,0.4,1,0.9,0.1,17
Gilliam,OR,1910,962,948,8.1,86,0,5.2,0,0.7,9.9
Grant,OR,7209,3647,3562,3.6,91.8,0.4,1,0.4,0,13.7
Harney,OR,7195,3633,3562,5,86.8,0.8,3.1,0.4,0.1,17.5
Hood River,OR,22938,11512,11426,31.1,64.2,0.1,0.6,1.9,0,12.1
Jackson,OR,212070,103422,108648,12.2,81.7,0.6,0.6,1.2,0.3,16.7
Jefferson,OR,22707,11605,11102,19.8,60.2,0.8,16.4,0.6,0.4,20.9
Josephine,OR,84514,41320,43194,7.1,87.4,0.4,1.2,0.6,0,18.6
Klamath,OR,66018,32995,33023,12.3,78.7,0.7,3.2,1,0.1,18.7
Lake,OR,7807,4165,3642,7.9,85.2,0.3,1.9,0.8,0,20
Lane,OR,363471,179116,184355,8.4,82.6,1,0.8,2.5,0.2,18.8
Lincoln,OR,47307,22779,24528,8.9,82.9,0.4,2.8,1.2,0.2,18.4
Linn,OR,121074,59757,61317,8.7,85.7,0.4,0.9,1.2,0.1,16.1
Malheur,OR,30421,16514,13907,33.1,61.7,0.9,0.7,1.6,0.1,25.2
Marion,OR,330453,164623,165830,26,66.3,1,0.5,2,0.8,15.9
Morrow,OR,11153,5724,5429,35.1,60.7,0.3,0.7,0.6,0.3,14.7
Multnomah,OR,788459,390542,397917,11.3,70.5,5.3,0.6,7,0.6,16.4
Polk,OR,79666,38699,40967,13.4,78.9,1,1.2,1.9,0.4,15.4
Sherman,OR,1635,864,771,4.5,91.7,0.8,0.8,0.1,0,13.7
Tillamook,OR,25840,13059,12781,10.3,84.7,0.3,0.6,0.7,0.4,15.5
Umatilla,OR,76736,40006,36730,26,67,0.8,2.4,0.8,0.2,17.8
Union,OR,25810,12738,13072,4.6,89.3,0.8,0.8,1,1.2,17.4
Wallowa,OR,6864,3297,3567,2.7,93.4,0.2,0.2,0.3,0.1,13.7
Wasco,OR,25687,12804,12883,17.4,75.4,0.4,3.6,0.9,0.6,13.7
Washington,OR,572071,282381,289690,16.4,67.1,1.9,0.3,9.7,0.4,10.3
Wheeler,OR,1415,686,729,6.1,89,0,1.1,0.4,0,20.6
Yamhill,OR,102366,51188,51178,15.7,77.6,0.9,0.8,1.4,0.2,13.7
Adams,PA,101589,50055,51534,6.8,89.5,1.4,0,0.7,0,8.8
Allegheny,PA,1229605,593177,636428,2,79.1,12.7,0.1,3.5,0,12.5
Armstrong,PA,66737,33176,33561,0.7,97.3,1,0,0.2,0,13
Beaver,PA,168161,81606,86555,1.5,89.7,5.9,0,0.5,0,10.8
Bedford,PA,48891,24404,24487,1.1,96.9,0.4,0.1,0.2,0,13.6
Berks,PA,415500,204283,211217,19.6,73.2,4.1,0.1,1.4,0,13.6
Blair,PA,124736,61106,63630,1.2,94.8,1.5,0,0.7,0,15.2
Bradford,PA,61546,30348,31198,1.4,96.1,0.6,0.1,0.6,0,12.2
Bucks,PA,626486,307319,319167,5,84.8,3.8,0.2,4.5,0,6.1
Butler,PA,185984,91847,94137,1.4,95,0.9,0.1,1.1,0,8.4
Cambria,PA,135871,66777,69094,1.5,93,3.2,0,0.5,0,15.6
Cameron,PA,4754,2419,2335,0.8,96.6,1.1,0.2,0.4,0,14.4
Carbon,PA,63987,31716,32271,4.3,92.4,1.7,0,0.5,0,12.8
Centre,PA,160646,84313,76333,2.8,85.8,3.6,0.1,6,0,18.4
Chester,PA,514652,253509,261143,7.2,80.2,5.7,0.1,4.9,0,6.9
Clarion,PA,38747,18932,19815,0.8,96.3,1,0.2,0.5,0,17.5
Clearfield,PA,80539,41950,38589,2.9,93.1,2.5,0.2,0.6,0,15.3
Clinton,PA,39321,19293,20028,1.4,95.3,1.4,0.1,0.7,0,17.2
Columbia,PA,66615,32085,34530,2.6,93.4,1.8,0.1,1.2,0,15.9
Crawford,PA,86847,42498,44349,1.2,95.1,1.9,0.1,0.4,0,14.5
Cumberland,PA,245801,121449,124352,3.5,86.9,3.5,0.1,4,0,7.8
Dauphin,PA,273329,132330,140999,8.5,67.1,17.7,0.1,3.9,0,13.2
Delaware,PA,563384,270775,292609,3.6,68,20.7,0.1,5.4,0,10.4
Elk,PA,30781,15435,15346,0.8,97.6,0.5,0.2,0.4,0,9.4
Erie,PA,277794,137134,140660,4,84.8,6.8,0.2,1.6,0,16.8
Fayette,PA,133160,65640,67520,1.1,92.1,3.9,0,0.2,0.2,18.8
Forest,PA,7388,5972,1416,7,59.7,30.8,0.2,0.7,0,14.1
Franklin,PA,153003,75535,77468,5.3,88.6,3.8,0.2,1,0,10.4
Fulton,PA,14631,7376,7255,1.2,96.3,1.5,0.3,0.1,0,11.5
Greene,PA,37338,19397,17941,1.5,93.6,3.1,0.1,0.4,0,14.8
Huntingdon,PA,45686,24129,21557,1.9,90.9,5,0.1,0.5,0,13.6
Indiana,PA,86551,43449,43102,1.3,93.9,2.2,0.2,1.1,0,16.6
Jefferson,PA,44258,21963,22295,0.8,97.3,0.6,0.2,0.3,0,14.2
Juniata,PA,24448,12210,12238,3.2,94.8,1.1,0,0.3,0,13.1
Lackawanna,PA,211960,102652,109308,6.7,86.6,2.6,0.1,2.5,0,15.4
Lancaster,PA,536494,262686,273808,10,82.7,3.6,0.1,2.1,0,10.4
Lawrence,PA,88231,42663,45568,1.3,92,3.5,0.1,0.5,0,14
Lebanon,PA,137616,67390,70226,12.2,83.4,1.8,0.1,1.3,0,10.5
Lehigh,PA,360774,176067,184707,22.8,66.5,5.4,0.1,3.3,0,13.3
Luzerne,PA,318222,156922,161300,10.1,83.8,3.5,0.1,1.2,0,15.2
Lycoming,PA,115398,56644,58754,1.9,90.7,4.8,0.1,0.6,0,14
McKean,PA,42070,21802,20268,2.1,93.5,2.5,0.1,0.4,0,17.3
Mercer,PA,113623,55992,57631,1.4,90.3,5.7,0.1,0.7,0,13.7
Mifflin,PA,46452,22748,23704,1.4,96.1,0.6,0.1,0.6,0,13.5
Monroe,PA,167306,82610,84696,14.9,67.6,13,0.2,2.2,0,11.1
Montgomery,PA,818677,397990,420687,4.9,76.6,8.8,0.1,7.3,0,6.4
Montour,PA,18302,8858,9444,2.5,92.1,1.8,0,3.1,0,10.5
Northampton,PA,300941,147829,153112,12.4,77.9,4.7,0.1,2.8,0,9.2
Northumberland,PA,93038,46851,46187,3.2,93,2.5,0.2,0.3,0,14.4
Perry,PA,45878,23135,22743,1.8,95.8,0.9,0.2,0.4,0,8.4
Philadelphia,PA,1569657,742412,827245,14.1,34.9,41.3,0.2,7,0,25.8
Pike,PA,55687,27956,27731,10.3,81.1,5.7,0.1,1.2,0,9.9
Potter,PA,17070,8604,8466,1.2,96.7,0.4,0.2,0.3,0,14.4
Schuylkill,PA,144287,73691,70596,3.8,91.7,2.6,0.1,0.5,0,12.5
Snyder,PA,40570,20076,20494,2.2,95.2,0.8,0.1,0.7,0,11.3
